cycle_id,experiment_stage,configuration_change,sleep_request_time,last_observed_online_time,confirmed_offline_time,quiet_window_seconds,quiet_window_observed_seconds,spontaneous_resume,spontaneous_resume_time,wol_sent,wol_count,wol_time,network_return_time,ssh_return_time,network_latency,ssh_latency,resume_initiation_time,windows_resume_time,wake_source,entered_s3,pure_s3,hybrid_sleep_observed,rebooted_instead,nic_wake_armed,rt640x64_error,ndis_error,usb_error,device_error,scheduled_task_correlation,wol_causal_evidence,stop_reason,notes,clean_cycle
baseline-20260901T012019Z-01,baseline,baseline_current_configuration,,,,300,0.0,False,,False,0,,,,,,,,,False,False,False,False,False,False,False,False,False,,unavailable,preflight_transient_maintenance_request_active,,False
baseline-20260901T013314Z-01,baseline,baseline_current_optimizer_active,2026-09-01T01:33:16.945Z,2026-09-01T01:33:21.727Z,2026-09-01T01:33:26.790Z,300,24.027,True,2026-09-01T01:33:51.835Z,False,0,,2026-09-01T01:33:51.835Z,2026-09-01T01:33:52.441Z,,,2026-09-01T01:33:34.5000000Z,2026-09-01T01:33:39.0906566Z,Unknown,True,False,True,False,True,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,Drive Optimizer request active at baseline sleep request; recorded as confound,False
verification-20260901T013711Z-01,verification,disable_hid_keyboard_005_wake,2026-09-01T01:37:14.100Z,2026-09-01T01:37:20.823Z,2026-09-01T01:37:25.849Z,300,24.009,True,2026-09-01T01:37:50.879Z,False,0,,2026-09-01T01:37:50.879Z,2026-09-01T01:37:51.452Z,,,2026-09-01T01:37:32.5000000Z,,,True,True,False,False,True,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
verification-20260901T013946Z-01,verification,disable_hid_keyboard_016_wake,2026-09-01T01:39:48.548Z,2026-09-01T01:39:53.334Z,2026-09-01T01:39:58.360Z,300,24.009,True,2026-09-01T01:40:23.388Z,False,0,,2026-09-01T01:40:23.388Z,2026-09-01T01:40:23.928Z,,,,,,False,False,False,False,False,False,False,False,False,,unavailable,diagnostic_harness_error,"Command '('/usr/bin/ssh', '-i', '/home/dmejiame/.ssh/id_ed25519', '-o', 'BatchMode=yes', '-o', 'IdentitiesOnly=yes', '-o', 'ConnectTimeout=6', '-o', 'ConnectionAttempts=1', '-o', 'StrictHostKeyChecking=yes', '-o', 'ClearAllForwardings=yes', '-T', 'Daniel@192.168.1.209', 'powershell.exe -NoLogo -NoProfile -NonInteractive -ExecutionPolicy Bypass -File C:/ProgramData/Butters/sleep-diagnostic-collect-cycle.ps1 -Phase After')' timed out after 45.0 seconds",False
verification-20260901T014427Z-01,verification,disable_varmilo_keyboard_wake_all_interfaces,2026-09-01T01:44:29.715Z,2026-09-01T01:44:36.500Z,2026-09-01T01:44:41.527Z,300,24.011,True,2026-09-01T01:45:06.556Z,False,0,,2026-09-01T01:45:06.556Z,2026-09-01T01:45:07.136Z,,,2026-09-01T01:44:48.5000000Z,2026-09-01T01:44:52.7393452Z,Unknown,True,False,True,False,True,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
verification-20260901T014812Z-01,verification,disable_hybrid_sleep_ac,2026-09-01T01:48:14.810Z,2026-09-01T01:48:21.548Z,2026-09-01T01:48:26.573Z,300,12.009,True,2026-09-01T01:48:39.599Z,False,0,,2026-09-01T01:48:39.599Z,2026-09-01T01:48:40.192Z,,,2026-09-01T01:48:30.5000000Z,2026-09-01T01:48:34.6681543Z,Unknown,True,True,False,False,True,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
no_wol_isolation-20260901T015204Z-01,no_wol_isolation,disable_realtek_device_wake,2026-09-01T01:52:07.133Z,2026-09-01T01:52:13.913Z,2026-09-01T01:52:18.939Z,300,24.01,True,2026-09-01T01:52:43.984Z,False,0,,2026-09-01T01:52:43.984Z,2026-09-01T01:52:44.569Z,,,2026-09-01T01:52:25.5000000Z,2026-09-01T01:52:29.8996676Z,Unknown,True,False,True,False,False,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
no_wake_sources_isolation-20260901T015855Z-01,no_wake_sources_isolation,no_windows_wake_sources_armed,2026-09-01T01:58:57.519Z,2026-09-01T01:59:04.253Z,2026-09-01T01:59:09.281Z,300,24.009,True,2026-09-01T01:59:34.307Z,False,0,,2026-09-01T01:59:34.307Z,2026-09-01T01:59:34.899Z,,,2026-09-01T01:59:15.5000000Z,2026-09-01T01:59:19.7935221Z,Unknown,True,False,True,False,False,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
silent_network_isolation-20260901T020416Z-01,silent_network_isolation,nic_unarmed_no_pi_traffic,2026-09-01T02:04:18.717Z,2026-09-01T02:04:18.717Z,2026-09-01T02:04:18.9013907Z,300,18.599,True,2026-09-01T02:09:49.447Z,False,0,,2026-09-01T02:09:49.447Z,2026-09-01T02:09:50.048Z,,,2026-09-01T02:04:37.5000000Z,2026-09-01T02:04:41.6639897Z,Unknown,True,False,True,False,False,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,genuine S3 confirmed retrospectively; resume preceded the first post-sleep network probe,False
usb_selective_suspend_isolation-20260901T124757Z-01,usb_selective_suspend_isolation,usb_selective_suspend_ac_disabled,2026-09-01T12:57:48.663Z,2026-09-01T12:57:53.504Z,2026-09-01T12:57:58.533Z,300,24.01,True,2026-09-01T12:58:23.563Z,False,0,,2026-09-01T12:58:23.563Z,2026-09-01T12:58:24.150Z,,,2026-09-01T12:58:06.5000000Z,2026-09-01T12:58:14.6485212Z,Unknown,True,False,True,False,True,False,False,False,False,unavailable_log_disabled,no_wol_sent,spontaneous_non_wol_resume,,False
